iter,reward,lossInTroops,exploration,estimatorAttack,estimatorOffset,targetOffset,totalNumTroops
1,10.0,5.0,0.0,1.0,106.61199534299261,56.98906163253349,47.0
2,10.0,1.0,0.0,1.0,76.92742221444978,76.92742221444978,43.0
3,10.0,1.0,0.0,1.0,73.6644311359539,76.92742221444978,43.0
4,-1.0,0.0,0.0,1.0,0.32838324101775646,0.32838324101775646,43.0
5,-1.0,0.0,0.0,1.0,0.14824772583411924,0.32838324101775646,43.0
6,10.0,5.0,0.0,1.0,76.92729471103851,76.92729471103851,43.0
7,10.0,2.0,0.0,1.0,73.6643063659783,76.92729471103851,39.0
8,-1.0,0.0,0.0,1.0,0.3283915715858074,0.3283915715858074,38.0
9,-1.0,0.0,0.0,1.0,0.14825332302523642,0.3283915715858074,38.0
10,-1.0,0.0,0.0,1.0,0.22948621613261666,0.22948621613261666,38.0
11,-1.0,0.0,0.0,1.0,0.0846995094024326,0.22948621613261666,38.0
12,10.0,1.0,0.0,1.0,78.58501032117614,78.58501032117614,48.0
13,10.0,1.0,0.0,1.0,75.28667304564215,78.58501032117614,48.0
14,10.0,1.0,0.0,1.0,76.92700299940739,76.92700299940739,48.0
15,10.0,1.0,0.0,1.0,73.66402090810978,76.92700299940739,48.0
16,-3.0,3.0,0.0,1.0,5.08441191667152,5.08441191667152,48.0
17,10.0,1.0,0.0,1.0,78.58496909613461,75.2866732713818,57.0
18,-1.0,1.0,0.0,1.0,0.32841130129031343,0.32841130129031343,57.0
19,-1.0,1.0,0.0,1.0,0.1482665792735518,0.32841130129031343,56.0
20,-1.0,1.0,0.0,1.0,0.22950270901804756,0.22950270901804756,55.0
21,10.0,1.0,0.0,1.0,80.26030445829207,76.92686524955046,54.0
22,10.0,1.0,0.0,1.0,76.92680398153105,76.92680398153105,54.0
23,-1.0,1.0,0.0,1.0,0.4450187424607994,0.22950605551471362,54.0
24,10.0,1.0,0.0,1.0,76.92676103283077,76.92676103283077,53.0
25,-1.0,0.0,0.0,1.0,0.4450220090998304,0.22950840141431728,53.0
26,-1.0,1.0,0.0,1.0,0.22951074731653526,0.22951074731653526,53.0
27,10.0,1.0,0.0,1.0,80.26015414297352,76.92671808431416,52.0
28,10.0,1.0,0.0,1.0,76.92665681749045,76.92665681749045,52.0
29,10.0,1.0,0.0,1.0,73.6636821477139,76.92665681749045,64.0
30,-1.0,1.0,0.0,1.0,0.32843325071491075,0.32843325071491075,64.0
31,10.0,1.0,0.0,1.0,78.58445605951327,75.28633080022577,63.0
32,-1.0,1.0,0.0,1.0,0.32843655770089064,0.32843655770089064,63.0
33,10.0,1.0,0.0,1.0,78.58440490704315,75.28628073159693,62.0
34,-1.0,0.0,0.0,1.0,0.3284398646856403,0.3284398646856403,62.0
35,-1.0,0.0,0.0,1.0,0.1482857711605131,0.3284398646856403,62.0
36,10.0,1.0,0.0,1.0,76.92642810785968,76.92642810785968,62.0
37,10.0,1.0,0.0,1.0,73.66345834121763,76.92642810785968,62.0
38,10.0,1.0,0.0,1.0,75.28610454216245,75.28610454216245,62.0
39,-1.0,1.0,0.0,1.0,0.5793239608898927,0.32844819498891153,62.0
40,-1.0,1.0,0.0,1.0,0.3284506235961451,0.3284506235961451,61.0
41,-1.0,0.0,0.0,0.0,0.15793693957848182,0.34272636320633065,60.0
42,10.0,1.0,0.0,1.0,76.92626676371844,76.92626676371844,60.0
43,10.0,1.0,0.0,1.0,73.66330045601714,76.92626676371844,72.0
44,-1.0,0.0,0.0,1.0,0.32845873771092504,0.32845873771092504,72.0
45,10.0,1.0,0.0,1.0,78.58406183373845,75.28594492749163,72.0
46,10.0,1.0,0.0,1.0,75.28589486105996,75.28589486105996,72.0
47,-1.0,1.0,0.0,1.0,0.5793423544778399,0.32846204468856455,72.0
48,-1.0,1.0,0.0,1.0,0.32846447330505385,0.32846447330505385,71.0
49,-1.0,0.0,0.0,1.0,0.14830230614225987,0.32846447330505385,70.0
50,-1.0,1.0,0.0,1.0,0.22954715821776947,0.22954715821776947,70.0
51,-1.0,0.0,0.0,1.0,0.08473653352009809,0.22954715821776947,69.0
52,10.0,1.0,0.0,1.0,78.58388269260827,78.58388269260827,69.0
53,10.0,1.0,0.0,1.0,75.28556933509493,78.58388269260827,69.0
54,10.0,1.0,0.0,1.0,76.92588732985077,76.92588732985077,69.0
55,-1.0,0.0,0.0,1.0,0.44508846495861226,0.2295561266671094,69.0
56,-1.0,0.0,0.0,1.0,0.22955847262319182,0.22955847262319182,69.0
57,-1.0,0.0,1.0,0.0,0.08474340770483328,0.22955847262319182,69.0
58,-1.0,0.0,0.0,1.0,0.14831532866100072,0.14831532866100072,69.0
59,-1.0,0.0,0.0,1.0,0.038850576977931865,0.14831532866100072,69.0
60,10.0,1.0,0.0,1.0,80.25910829847477,80.25910829847477,95.0
61,-1.0,0.0,0.0,1.0,0.22958006413573404,0.08474839380127397,95.0
62,10.0,1.0,0.0,1.0,80.25904572869302,80.25904572869302,95.0
63,10.0,1.0,0.0,1.0,76.92538788771023,80.25904572869302,95.0
64,-1.0,0.0,0.0,1.0,0.1483281549972068,0.1483281549972068,95.0
65,-1.0,0.0,0.0,1.0,0.03885714140126016,0.1483281549972068,95.0
66,10.0,1.0,0.0,1.0,80.25880995122978,80.25880995122978,95.0
67,10.0,2.0,0.0,1.0,76.92515705885528,80.25880995122978,95.0
68,-1.0,0.0,0.0,1.0,0.14833829118854172,0.14833829118854172,94.0
69,10.0,1.0,0.0,1.0,81.95183467313902,78.58314481945169,94.0
70,-1.0,0.0,1.0,0.0,0.14834167633596623,0.14834167633596623,94.0
71,-1.0,0.0,0.0,1.0,0.038864061814827135,0.14834167633596623,94.0
72,-1.0,0.0,0.0,1.0,0.08476830953401035,0.08476830953401035,94.0
73,-1.0,0.0,0.0,1.0,0.010638707057419317,0.08476830953401035,94.0
74,-1.0,0.0,0.0,1.0,0.03887132094308826,0.03887132094308826,94.0
75,10.0,1.0,0.0,1.0,85.39047650115053,81.95142178516102,121.0
76,-1.0,0.0,0.0,1.0,0.03887478114318572,0.03887478114318572,121.0
77,10.0,1.0,0.0,1.0,85.39031435656065,81.95126291038109,121.0
78,10.0,1.0,0.0,1.0,81.95110404298926,81.95110404298926,121.0
79,-1.0,0.0,0.0,1.0,0.14838291826308828,0.03887824133971961,121.0
80,-1.0,0.0,0.0,1.0,0.038879974099023655,0.038879974099023655,121.0
81,10.0,1.0,0.0,1.0,85.3900710290572,81.9510244898341,121.0
82,-1.0,0.0,0.0,1.0,0.0388834342902398,0.0388834342902398,121.0
83,-1.0,0.0,0.0,1.0,8.453980409182512E-5,0.0388834342902398,121.0
84,-1.0,0.0,0.0,1.0,0.010686391229009003,0.010686391229009003,121.0
85,-1.0,0.0,1.0,0.0,0.007154923188251478,0.010686391229009003,121.0
86,-1.0,0.0,0.0,1.0,0.010685609604566859,0.010685609604566859,121.0
87,10.0,1.0,0.0,1.0,87.13197775739964,83.65826738445134,148.0
88,-1.0,0.0,0.0,1.0,0.010689106200450858,0.010689106200450858,148.0
89,10.0,1.0,0.0,1.0,87.13166224857551,83.65795802429633,148.0
90,10.0,1.0,0.0,1.0,83.6576487159589,83.6576487159589,148.0
91,-1.0,0.0,0.0,1.0,0.08493402269362148,0.010692602788972935,148.0
92,-1.0,0.0,0.0,1.0,0.010693817301001484,0.010693817301001484,148.0
93,10.0,1.0,0.0,1.0,87.131237233581,83.65754129216329,148.0
94,-1.0,0.0,0.0,1.0,0.0106973138797852,0.0106973138797852,148.0
95,-1.0,0.0,0.0,1.0,0.007145996677864857,0.0106973138797852,148.0
96,-1.0,0.0,0.0,1.0,0.01069652734400083,0.01069652734400083,148.0
97,-1.0,0.0,1.0,0.0,0.007146639131209661,0.01069652734400083,148.0
98,-1.0,0.0,0.0,1.0,0.010695741156210218,0.010695741156210218,148.0
99,10.0,1.0,0.0,1.0,87.1310636986401,83.65737113918134,175.0
100,-1.0,0.0,0.0,1.0,0.01069923772659527,0.01069923772659527,175.0
101,10.0,1.0,0.0,1.0,87.13074834301668,83.65706192946956,175.0
