iter,gameId,reward,lossInTroops,exploration,estimatorAttack,estimatorOffset,targetOffset,totalNumTroops
1,0.0,-1.0,0.0,0.0,0.0,19.45178437063268,10.837467629310273,47.0
2,0.0,10.0,1.0,1.0,1.0,70.71067811865476,70.71067811865476,47.0
3,0.0,10.0,4.0,1.0,1.0,70.71067811865476,70.71067811865476,47.0
4,0.0,-1.0,0.0,1.0,0.0,0.7057639960380121,0.7057639960380121,44.0
5,0.0,10.0,5.0,1.0,1.0,70.71067811865476,70.71067811865476,44.0
6,0.0,-1.0,0.0,1.0,1.0,0.7071067811865476,0.7071067811865476,40.0
7,0.0,10.0,1.0,1.0,1.0,70.71067811865476,70.71067811865476,40.0
8,0.0,-1.0,0.0,0.0,0.0,0.7071067811865476,0.7071067811865476,40.0
9,0.0,-1.0,0.0,1.0,1.0,0.7071067811865476,0.7071067811865476,40.0
10,0.0,-1.0,0.0,1.0,1.0,0.7071067811865476,0.7071067811865476,40.0
11,0.0,10.0,1.0,1.0,1.0,70.71067811865476,70.71067811865476,40.0
12,0.0,-1.0,0.0,0.0,0.0,0.7731816088879317,0.7071067811865476,43.0
13,0.0,-1.0,1.0,1.0,1.0,0.7731816088879317,0.7071067811865476,43.0
14,0.0,-1.0,0.0,0.0,0.0,0.7200631794299885,0.7200631794299885,42.0
15,0.0,-1.0,1.0,1.0,1.0,0.7200631794299885,0.7200631794299885,42.0
16,0.0,-1.0,0.0,0.0,0.0,0.7200631794299885,0.7200631794299885,41.0
17,0.0,-1.0,0.0,0.0,0.0,0.7200631794299885,0.7200631794299885,41.0
18,0.0,10.0,1.0,1.0,1.0,70.58176108597046,70.58176108597046,41.0
19,0.0,-1.0,0.0,0.0,0.0,0.7200631794299885,0.7200631794299885,41.0
20,0.0,-1.0,0.0,0.0,0.0,0.7200631794299885,0.7200631794299885,41.0
21,0.0,-1.0,0.0,0.0,0.0,0.7200631794299885,0.7200631794299885,41.0
22,0.0,-1.0,0.0,0.0,0.0,0.7200631794299885,0.7200631794299885,41.0
23,0.0,-1.0,0.0,0.0,0.0,0.7200631794299885,0.7200631794299885,41.0
24,0.0,-1.0,0.0,0.0,0.0,0.7200631794299885,0.7200631794299885,41.0
25,0.0,-1.0,1.0,1.0,1.0,0.7200631794299885,0.7200631794299885,41.0
26,0.0,10.0,1.0,1.0,1.0,70.58176108597046,70.58176108597046,40.0
27,0.0,-1.0,0.0,0.0,0.0,0.7200631794299885,0.7200631794299885,40.0
28,0.0,-1.0,0.0,0.0,0.0,0.7200631794299885,0.7200631794299885,40.0
29,0.0,-1.0,0.0,0.0,0.0,0.7200631794299885,0.7200631794299885,40.0
30,0.0,-1.0,1.0,1.0,1.0,0.7200631794299885,0.7200631794299885,40.0
31,0.0,-1.0,0.0,0.0,0.0,0.7200631794299885,0.7200631794299885,39.0
32,0.0,10.0,1.0,1.0,1.0,70.58176108597046,70.58176108597046,39.0
33,0.0,-1.0,0.0,0.0,0.0,0.7200631794299885,0.7200631794299885,39.0
34,0.0,-1.0,0.0,0.0,0.0,0.7200631794299885,0.7200631794299885,39.0
35,0.0,-1.0,0.0,0.0,0.0,0.7252084176996217,0.7200631794299885,50.0
36,0.0,10.0,1.0,1.0,1.0,70.57158951405276,70.57158951405276,50.0
37,0.0,-1.0,0.0,0.0,0.0,0.7210909535081739,0.7210909535081739,50.0
38,0.0,-1.0,0.0,0.0,0.0,0.7210909535081739,0.7210909535081739,50.0
39,0.0,10.0,1.0,1.0,1.0,70.57158951405276,70.57158951405276,50.0
40,0.0,-1.0,0.0,0.0,0.0,0.7210909535081739,0.7210909535081739,50.0
41,0.0,-1.0,0.0,0.0,0.0,0.7210909535081739,0.7210909535081739,50.0
42,0.0,-1.0,0.0,0.0,0.0,0.7210909535081739,0.7210909535081739,50.0
43,0.0,-1.0,0.0,0.0,0.0,0.7210909535081739,0.7210909535081739,50.0
44,0.0,-1.0,0.0,0.0,0.0,0.7210909535081739,0.7210909535081739,50.0
45,0.0,-1.0,0.0,0.0,0.0,0.7210909535081739,0.7210909535081739,50.0
46,0.0,-1.0,0.0,0.0,0.0,0.7210909535081739,0.7210909535081739,50.0
47,0.0,-1.0,1.0,1.0,1.0,0.7210909535081739,0.7210909535081739,50.0
48,0.0,10.0,1.0,1.0,1.0,70.57158951405276,70.57158951405276,49.0
49,0.0,-1.0,0.0,0.0,0.0,0.7210909535081739,0.7210909535081739,49.0
50,0.0,10.0,1.0,1.0,1.0,70.57158951405276,70.57158951405276,49.0
51,0.0,-1.0,1.0,1.0,1.0,0.7210909535081739,0.7210909535081739,49.0
52,0.0,-1.0,0.0,0.0,0.0,0.7210909535081739,0.7210909535081739,48.0
53,0.0,-1.0,1.0,1.0,1.0,0.7210909535081739,0.7210909535081739,48.0
54,0.0,10.0,5.0,1.0,1.0,70.57158951405276,70.57158951405276,47.0
55,0.0,-1.0,0.0,0.0,0.0,0.7210909535081739,0.7210909535081739,43.0
56,0.0,10.0,1.0,1.0,1.0,70.35475660881059,70.57158951405276,55.0
57,0.0,-1.0,0.0,0.0,0.0,0.7431928469367816,0.7210909535081739,55.0
58,0.0,10.0,1.0,1.0,1.0,70.52819413530896,70.52819413530896,55.0
59,0.0,-1.0,1.0,1.0,1.0,0.725484855957061,0.725484855957061,55.0
60,0.0,10.0,1.0,1.0,1.0,70.52819413530896,70.52819413530896,54.0
61,0.0,10.0,1.0,1.0,1.0,70.52819413530896,70.52819413530896,54.0
62,0.0,-1.0,0.0,0.0,0.0,0.725484855957061,0.725484855957061,54.0
63,0.0,10.0,1.0,1.0,1.0,70.52819413530896,70.52819413530896,54.0
64,0.0,10.0,1.0,1.0,1.0,70.52819413530896,70.52819413530896,54.0
65,0.0,-1.0,0.0,0.0,0.0,0.725484855957061,0.725484855957061,54.0
66,0.0,-1.0,0.0,1.0,1.0,0.725484855957061,0.725484855957061,54.0
67,0.0,10.0,1.0,1.0,1.0,70.52819413530896,70.52819413530896,54.0
68,0.0,-1.0,0.0,0.0,0.0,0.725484855957061,0.725484855957061,54.0
69,0.0,-1.0,0.0,0.0,0.0,0.725484855957061,0.725484855957061,54.0
70,0.0,10.0,1.0,1.0,1.0,70.52819413530896,70.52819413530896,54.0
71,0.0,-1.0,0.0,0.0,0.0,0.725484855957061,0.725484855957061,54.0
72,0.0,10.0,1.0,1.0,1.0,70.52819413530896,70.52819413530896,54.0
73,0.0,-1.0,0.0,0.0,0.0,0.725484855957061,0.725484855957061,54.0
74,0.0,10.0,1.0,1.0,1.0,70.07277003221995,70.52819413530896,66.0
75,0.0,10.0,1.0,1.0,1.0,70.07277003221995,70.52819413530896,66.0
76,0.0,10.0,1.0,1.0,1.0,70.43698972671527,70.43698972671527,66.0
77,0.0,-1.0,0.0,0.0,0.0,0.7347674997713658,0.7347674997713658,66.0
78,0.0,-1.0,1.0,1.0,1.0,0.7347674997713658,0.7347674997713658,66.0
79,0.0,-1.0,0.0,0.0,0.0,0.7347674997713658,0.7347674997713658,65.0
80,0.0,10.0,1.0,1.0,1.0,70.43698972671527,70.43698972671527,65.0
81,0.0,-1.0,0.0,0.0,0.0,0.7347674997713658,0.7347674997713658,65.0
82,0.0,-1.0,0.0,0.0,0.0,0.7347674997713658,0.7347674997713658,65.0
83,0.0,-1.0,0.0,1.0,1.0,0.7347674997713658,0.7347674997713658,65.0
84,0.0,-1.0,1.0,1.0,1.0,0.7347674997713658,0.7347674997713658,65.0
85,0.0,-1.0,0.0,1.0,1.0,0.7347674997713658,0.7347674997713658,64.0
86,0.0,-1.0,0.0,1.0,1.0,0.7347674997713658,0.7347674997713658,64.0
87,0.0,-1.0,0.0,0.0,0.0,0.7347674997713658,0.7347674997713658,64.0
88,0.0,-1.0,0.0,0.0,0.0,0.7347674997713658,0.7347674997713658,64.0
89,0.0,10.0,1.0,1.0,1.0,70.43698972671527,70.43698972671527,64.0
90,0.0,10.0,1.0,1.0,1.0,70.116548701558,70.43698972671527,93.0
91,1.0,-1.0,0.0,0.0,0.0,0.7678983295633189,0.7347674997713658,47.0
92,1.0,-1.0,0.0,0.0,0.0,0.7413354305465455,0.7413354305465455,47.0
93,1.0,10.0,1.0,1.0,1.0,70.37284103572763,70.37284103572763,47.0
94,1.0,10.0,6.0,1.0,1.0,70.37284103572763,70.37284103572763,47.0
95,1.0,-1.0,0.0,0.0,0.0,0.7413354305465455,0.7413354305465455,42.0
96,1.0,10.0,2.0,0.0,1.0,69.92989578884962,69.92989578884962,42.0
97,1.0,-1.0,0.0,1.0,1.0,0.7413354305465455,0.7413354305465455,41.0
98,1.0,-1.0,0.0,1.0,1.0,0.7413354305465455,0.7413354305465455,41.0
99,1.0,-1.0,0.0,0.0,0.0,0.7413354305465455,0.7413354305465455,41.0
100,1.0,-1.0,0.0,1.0,1.0,0.7413354305465455,0.7413354305465455,41.0
101,1.0,-1.0,0.0,0.0,0.0,0.7413354305465455,0.7413354305465455,41.0
102,1.0,10.0,1.0,1.0,1.0,69.96755359669645,70.37284103572763,32.0
103,1.0,10.0,1.0,1.0,1.0,69.96755359669645,70.37284103572763,32.0
104,1.0,-1.0,0.0,0.0,0.0,0.7496813979433783,0.7496813979433783,32.0
105,1.0,-1.0,1.0,1.0,1.0,0.7496813979433783,0.7496813979433783,32.0
106,1.0,-1.0,0.0,0.0,0.0,0.7496813979433783,0.7496813979433783,31.0
107,1.0,10.0,1.0,1.0,1.0,70.29177676373442,70.29177676373442,31.0
108,1.0,-1.0,1.0,1.0,1.0,0.7496813979433783,0.7496813979433783,31.0
109,1.0,-1.0,0.0,0.0,0.0,0.7496813979433783,0.7496813979433783,30.0
110,1.0,-1.0,0.0,0.0,0.0,0.7496813979433783,0.7496813979433783,30.0
111,1.0,-1.0,0.0,0.0,0.0,0.7496813979433783,0.7496813979433783,30.0
112,1.0,-1.0,0.0,0.0,0.0,0.7496813979433783,0.7496813979433783,30.0
113,1.0,10.0,1.0,1.0,1.0,70.29177676373442,70.29177676373442,30.0
114,1.0,10.0,1.0,1.0,1.0,70.29177676373442,70.29177676373442,30.0
115,1.0,-1.0,0.0,0.0,0.0,0.7496813979433783,0.7496813979433783,30.0
116,1.0,-1.0,0.0,1.0,1.0,0.7496813979433783,0.7496813979433783,30.0
117,1.0,-1.0,0.0,0.0,0.0,0.7496813979433783,0.7496813979433783,30.0
118,1.0,-1.0,1.0,1.0,1.0,0.7496813979433783,0.7496813979433783,30.0
119,1.0,-1.0,0.0,0.0,0.0,0.774673982979644,0.7496813979433783,30.0
120,1.0,-1.0,0.0,0.0,0.0,0.7546473728855412,0.7546473728855412,30.0
121,1.0,-1.0,1.0,1.0,1.0,0.7123094806330206,0.7123094806330206,30.0
122,1.0,-1.0,1.0,1.0,1.0,0.7123094806330206,0.7123094806330206,29.0
123,1.0,10.0,1.0,1.0,1.0,70.24377835522081,70.24377835522081,28.0
124,1.0,10.0,1.0,1.0,1.0,70.24377835522081,70.24377835522081,28.0
125,1.0,-1.0,0.0,0.0,0.0,0.7546473728855412,0.7546473728855412,28.0
126,1.0,10.0,1.0,1.0,1.0,70.24377835522081,70.24377835522081,28.0
127,1.0,-1.0,0.0,0.0,0.0,0.8005808573487329,0.7546473728855412,31.0
128,1.0,-2.0,2.0,0.0,1.0,2.3299883978907636,2.3299883978907636,31.0
129,1.0,-1.0,0.0,0.0,0.0,0.7637258267799969,0.7637258267799969,29.0
130,1.0,10.0,1.0,1.0,1.0,70.15647950938582,70.15647950938582,29.0
131,1.0,-1.0,0.0,0.0,0.0,0.7637258267799969,0.7637258267799969,29.0
132,1.0,-1.0,0.0,0.0,0.0,0.7637258267799969,0.7637258267799969,29.0
133,1.0,-1.0,0.0,0.0,0.0,0.7637258267799969,0.7637258267799969,29.0
134,1.0,-1.0,0.0,0.0,0.0,0.7637258267799969,0.7637258267799969,29.0
135,1.0,10.0,1.0,1.0,1.0,70.1232891870045,70.15647950938582,29.0
136,1.0,-1.0,0.0,0.0,0.0,0.7644103622557394,0.7644103622557394,29.0
137,1.0,-1.0,0.0,0.0,0.0,0.7644103622557394,0.7644103622557394,29.0
138,1.0,-3.0,3.0,0.0,1.0,6.637011501595598,6.637011501595598,29.0
139,1.0,10.0,2.0,1.0,1.0,70.0143309618577,70.14992027640362,33.0
140,1.0,-1.0,0.0,0.0,0.0,0.7672298724071778,0.7672298724071778,32.0
141,1.0,-1.0,0.0,0.0,0.0,0.7672298724071778,0.7672298724071778,32.0
142,1.0,-1.0,0.0,0.0,0.0,0.7672298724071778,0.7672298724071778,32.0
143,1.0,-1.0,0.0,0.0,0.0,0.7672298724071778,0.7672298724071778,32.0
144,1.0,-1.0,0.0,0.0,0.0,0.7843655965830516,0.7672298724071778,39.0
145,1.0,-1.0,0.0,0.0,0.0,0.7843655965830516,0.7672298724071778,39.0
146,1.0,-1.0,0.0,0.0,0.0,0.7706424234307799,0.7706424234307799,39.0
147,1.0,10.0,2.0,1.0,1.0,70.09035308134747,70.09035308134747,39.0
148,1.0,10.0,1.0,1.0,1.0,70.09035308134747,70.09035308134747,38.0
149,1.0,10.0,1.0,1.0,1.0,70.09035308134747,70.09035308134747,38.0
150,1.0,10.0,1.0,1.0,1.0,69.46478060964031,70.09035308134747,46.0
151,1.0,-1.0,0.0,0.0,0.0,0.8377871907500244,0.7706424234307799,46.0
152,1.0,10.0,1.0,1.0,1.0,69.96500909545713,69.96500909545713,46.0
153,1.0,10.0,1.0,1.0,1.0,69.96500909545713,69.96500909545713,46.0
154,1.0,-1.0,0.0,0.0,0.0,0.7838475850045454,0.7838475850045454,46.0
155,1.0,-1.0,1.0,1.0,1.0,0.7838475850045454,0.7838475850045454,46.0
156,1.0,10.0,1.0,1.0,1.0,69.96500909545713,69.96500909545713,45.0
157,1.0,-1.0,0.0,0.0,0.0,0.8454977721968071,0.7838475850045454,54.0
158,1.0,10.0,3.0,1.0,1.0,69.85076632709387,69.85076632709387,54.0
159,1.0,10.0,2.0,1.0,1.0,69.85076632709387,69.85076632709387,52.0
160,1.0,-1.0,0.0,0.0,0.0,0.7959913642482838,0.7959913642482838,51.0
161,1.0,-1.0,0.0,0.0,0.0,0.7959913642482838,0.7959913642482838,51.0
162,1.0,-1.0,0.0,0.0,0.0,0.7959913642482838,0.7959913642482838,51.0
163,1.0,-1.0,0.0,0.0,0.0,0.7959913642482838,0.7959913642482838,51.0
164,1.0,-1.0,0.0,0.0,0.0,0.7959913642482838,0.7959913642482838,51.0
165,1.0,-1.0,1.0,1.0,1.0,0.7959913642482838,0.7959913642482838,51.0
166,1.0,-1.0,0.0,0.0,0.0,0.7959913642482838,0.7959913642482838,50.0
167,1.0,-1.0,0.0,0.0,0.0,0.7959913642482838,0.7959913642482838,50.0
168,1.0,10.0,1.0,1.0,1.0,69.85076632709387,69.85076632709387,50.0
169,1.0,10.0,1.0,1.0,1.0,69.85076632709387,69.85076632709387,50.0
170,1.0,-1.0,0.0,1.0,1.0,0.7959913642482838,0.7959913642482838,50.0
171,1.0,-1.0,0.0,1.0,1.0,0.7959913642482838,0.7959913642482838,50.0
172,1.0,10.0,1.0,1.0,1.0,69.60454333421883,69.85076632709387,65.0
173,1.0,10.0,1.0,1.0,1.0,69.60454333421883,69.85076632709387,65.0
174,1.0,-1.0,0.0,0.0,0.0,0.8012620769891187,0.8012620769891187,65.0
175,1.0,10.0,1.0,1.0,1.0,69.80148220891688,69.80148220891688,65.0
176,1.0,-1.0,0.0,0.0,0.0,0.8012620769891187,0.8012620769891187,65.0
177,1.0,-1.0,1.0,1.0,1.0,0.8012620769891187,0.8012620769891187,65.0
178,1.0,-1.0,0.0,0.0,0.0,0.8012620769891187,0.8012620769891187,64.0
179,1.0,-1.0,0.0,0.0,0.0,0.8012620769891187,0.8012620769891187,64.0
180,1.0,-1.0,0.0,0.0,0.0,0.8012620769891187,0.8012620769891187,64.0
181,1.0,10.0,1.0,1.0,1.0,69.80148220891688,69.80148220891688,64.0
182,1.0,-1.0,0.0,1.0,1.0,0.8012620769891187,0.8012620769891187,64.0
183,1.0,-1.0,0.0,0.0,0.0,0.8012620769891187,0.8012620769891187,64.0
184,1.0,10.0,1.0,1.0,1.0,69.80148220891688,69.80148220891688,64.0
185,1.0,-1.0,0.0,1.0,1.0,0.8012620769891187,0.8012620769891187,64.0
186,1.0,-1.0,0.0,0.0,0.0,0.8012620769891187,0.8012620769891187,64.0
187,1.0,-1.0,0.0,0.0,0.0,0.8012620769891187,0.8012620769891187,64.0
188,1.0,-1.0,0.0,0.0,0.0,0.8012620769891187,0.8012620769891187,64.0
189,1.0,-1.0,0.0,0.0,0.0,0.832399600082718,0.8012620769891187,88.0
190,1.0,-1.0,0.0,0.0,0.0,0.8074426077015185,0.8074426077015185,88.0
191,1.0,-1.0,0.0,0.0,0.0,0.8074426077015185,0.8074426077015185,88.0
192,1.0,10.0,1.0,1.0,1.0,69.7439188445345,69.7439188445345,88.0
193,1.0,-1.0,0.0,0.0,0.0,0.8074426077015185,0.8074426077015185,88.0
194,1.0,-1.0,0.0,0.0,0.0,0.8074426077015185,0.8074426077015185,88.0
195,1.0,10.0,1.0,1.0,1.0,69.7439188445345,69.7439188445345,88.0
196,1.0,10.0,1.0,1.0,1.0,69.7439188445345,69.7439188445345,88.0
197,1.0,-1.0,0.0,0.0,0.0,0.8074426077015185,0.8074426077015185,88.0
198,1.0,-1.0,0.0,0.0,0.0,0.8074426077015185,0.8074426077015185,88.0
199,1.0,-1.0,1.0,1.0,1.0,0.8074426077015185,0.8074426077015185,88.0
200,1.0,-1.0,0.0,0.0,0.0,0.8074426077015185,0.8074426077015185,87.0
201,1.0,10.0,1.0,1.0,1.0,69.50815484498348,69.7439188445345,114.0
202,1.0,10.0,2.0,1.0,1.0,69.69672915275186,69.69672915275186,114.0
203,1.0,-1.0,0.0,0.0,0.0,0.8125289502087761,0.8125289502087761,113.0
204,1.0,-1.0,0.0,0.0,0.0,0.8125289502087761,0.8125289502087761,113.0
