iter,lambda,winChanceThreshold,turnsuntilwin,alpha,statevalue,randomchancethreshold
1,0.2,0.5,-1.0,0.05,-3.511004604804203,0.2
2,0.2,0.5,-1.0,0.05,-2.9563815363072963,0.2
3,0.4,0.5,-1.0,0.05,-2.8110777917821053,0.2
4,0.4,0.5,-1.0,0.05,-2.513065101910742,0.2
5,0.6000000000000001,0.5,-1.0,0.05,-2.378881076906294,0.2
6,0.6000000000000001,0.5,-1.0,0.05,-2.254925927548088,0.2
7,0.8,0.5,-1.0,0.05,-2.141216607120117,0.2
8,0.8,0.5,-1.0,0.05,-2.028016996362435,0.2
9,1.0,0.5,-1.0,0.05,-1.9206397030448779,0.2
10,1.0,0.5,-1.0,0.05,-1.6960973985049823,0.2
