iter,lambda,winChanceThreshold,territoryfeatureweight,alpha,statevalue,randomchancethreshold,hinterlandfeatureweight,bestenemyfeatureweight,armiesfeatureweight,enemyreinforcementfeatureweight
1,0.5,0.5,-0.887323644199296,0.05,3.608465298256356,0.2,-0.09034254804462802,-0.22230524639309274,0.4037144613171481,0.533092794782636
2,0.5,0.5,-0.887323644199296,0.05,3.608465298256356,0.2,-0.09034254804462802,-0.22230524639309274,0.4037144613171481,0.533092794782636
3,0.5,0.5,-0.887323644199296,0.05,3.606833850655592,0.2,-0.09034254804462802,-0.22230524639309274,0.4037144613171481,0.533092794782636
4,0.5,0.5,-0.887323644199296,0.05,3.606833850655592,0.2,-0.09034254804462802,-0.22230524639309274,0.4037144613171481,0.533092794782636
5,0.5,0.5,-0.887323644199296,0.05,3.6055996250793623,0.2,-0.09034254804462802,-0.22230524639309274,0.4037144613171481,0.533092794782636
6,0.5,0.5,-0.887323644199296,0.05,3.6055996250793623,0.2,-0.09034254804462802,-0.22230524639309274,0.4037144613171481,0.533092794782636
7,0.5,0.5,-0.887323644199296,0.05,3.604758296958783,0.2,-0.09034254804462802,-0.22230524639309274,0.4037144613171481,0.533092794782636
8,0.5,0.5,-0.887323644199296,0.05,3.604758296958783,0.2,-0.09034254804462802,-0.22230524639309274,0.4037144613171481,0.533092794782636
9,0.5,0.5,-0.887323644199296,0.05,3.6040622341252098,0.2,-0.09034254804462802,-0.22230524639309274,0.4037144613171481,0.533092794782636
10,0.5,0.5,-0.887323644199296,0.05,3.6040622341252098,0.2,-0.09034254804462802,-0.22230524639309274,0.4037144613171481,0.533092794782636
11,0.5,0.5,-0.8902836230753182,0.05,3.308787709017191,0.2,-0.09077655555022145,-0.2193955736149653,0.4006538702453364,0.4916530905183255
12,0.5,0.5,-0.8902836230753182,0.05,3.308787709017191,0.2,-0.09077655555022145,-0.2193955736149653,0.4006538702453364,0.4916530905183255
13,0.5,0.5,-0.8916767645015254,0.05,3.169575711888003,0.2,-0.09098149173023647,-0.2180243212974839,0.3992169506016773,0.47214911055142295
14,0.5,0.5,-0.8916767645015254,0.05,3.169575711888003,0.2,-0.09098149173023647,-0.2180243212974839,0.3992169506016773,0.47214911055142295
15,0.5,0.5,-0.8929957961217709,0.05,3.037056120805565,0.2,-0.0911784763575562,-0.21672408887784322,0.397860320580222,0.45368266786798556
16,0.5,0.5,-0.8929957961217709,0.05,3.037056120805565,0.2,-0.0911784763575562,-0.21672408887784322,0.397860320580222,0.45368266786798556
17,0.5,0.5,-0.8929957961217709,0.05,3.036707927002646,0.2,-0.0911784763575562,-0.21672408887784322,0.397860320580222,0.45368266786798556
